"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('11', 0, 1, 1000)","('11', 19, 20, 1000)",3
"('11', 1, 2, 1000)","('11', 12, 13, 1000)",5
"('11', 2, 3, 1000)","('11', 14, 15, 1000)",5
"('11', 3, 4, 1000)","('11', 33, 34, 1000)",5
"('11', 4, 5, 1000)","('11', 5, 6, 1000)",5
"('11', 5, 6, 1000)","('11', 4, 5, 1000)",5
"('11', 6, 7, 1000)","('11', 4, 5, 1000)",5
"('11', 7, 8, 1000)","('11', 5, 6, 1000)",5
"('11', 8, 9, 1000)","('11', 4, 5, 1000)",5
"('11', 9, 10, 1000)","('11', 4, 5, 1000)",5
"('11', 10, 11, 1000)","('11', 5, 6, 1000)",5
"('11', 11, 12, 1000)","('11', 4, 5, 1000)",5
"('11', 12, 13, 1000)","('11', 1, 2, 1000)",5
"('11', 13, 14, 1000)","('11', 8, 9, 1000)",5
"('11', 14, 15, 1000)","('11', 1, 2, 1000)",5
"('11', 15, 16, 1000)","('11', 1, 2, 1000)",5
"('11', 16, 17, 1000)","('11', 2, 3, 1000)",5
"('11', 17, 18, 1000)","('11', 2, 3, 1000)",5
"('11', 18, 19, 1000)","('11', 2, 3, 1000)",5
"('11', 19, 20, 1000)","('11', 0, 1, 1000)",5
"('11', 20, 21, 1000)","('11', 2, 3, 1000)",5
"('11', 21, 22, 1000)","('11', 9, 10, 1000)",5
"('11', 22, 23, 1000)","('11', 8, 9, 1000)",5
"('11', 23, 24, 1000)","('11', 5, 6, 1000)",5
"('11', 24, 25, 1000)","('11', 0, 1, 1000)",5
"('11', 25, 26, 1000)","('1', 26, 27, 1000)",8
"('11', 26, 27, 1000)","('11', 0, 1, 1000)",8
"('11', 27, 28, 1000)","('11', 28, 29, 1000)",8
"('11', 28, 29, 1000)","('11', 25, 26, 1000)",8
"('11', 29, 30, 1000)","('11', 7, 8, 1000)",8
"('11', 30, 31, 1000)","('11', 8, 9, 1000)",8
"('11', 31, 32, 1000)","('11', 32, 33, 1000)",8
"('11', 32, 33, 1000)","('11', 26, 27, 1000)",8
"('11', 33, 34, 1000)","('11', 3, 4, 1000)",8
"('11', 34, 35, 1000)","('11', 33, 34, 1000)",8
"('11', 35, 36, 1000)","('11', 7, 8, 1000)",8
"('11', 36, 37, 1000)","('1', 26, 27, 1000)",8
"('11', 37, 38, 1000)","('11', 8, 9, 1000)",9
"('11', 38, 39, 1000)","('11', 0, 1, 1000)",9
"('11', 39, 40, 1000)","('1', 2, 3, 1000)",9
"('11', 40, 41, 1000)","('11', 0, 1, 1000)",9
"('11', 41, 42, 1000)","('11', 0, 1, 1000)",9
"('11', 42, 43, 1000)","('1', 26, 27, 1000)",9
"('11', 43, 44, 1000)","('11', 0, 1, 1000)",9
"('11', 44, 45, 1000)","('11', 8, 9, 1000)",9
"('11', 45, 46, 1000)","('11', 0, 1, 1000)",9
"('11', 46, 47, 1000)","('11', 9, 10, 1000)",9
"('11', 47, 48, 1000)","('11', 2, 3, 1000)",14
"('12', 0, 1, 1000)","('12', 1, 2, 1000)",2
"('12', 1, 2, 1000)","('12', 0, 1, 1000)",2
"('12', 2, 3, 1000)","('12', 5, 6, 1000)",4
"('12', 3, 4, 1000)","('12', 4, 5, 1000)",4
"('12', 4, 5, 1000)","('12', 3, 4, 1000)",4
"('12', 5, 6, 1000)","('12', 2, 3, 1000)",4
"('12', 6, 7, 1000)","('12', 0, 1, 1000)",4
"('12', 7, 8, 1000)","('12', 1, 2, 1000)",4
