"src(partition,col,length,network,diameter=1000)","dest(partition,col,length,network,diameter=1000)",network
"('20', 22, 1, 1000)","('20', 5, 1, 1000)",8
"('20', 24, 1, 1000)","('10', 4, 1, 1000)",8
"('20', 25, 1, 1000)","('20', 11, 1, 1000)",8
"('20', 26, 1, 1000)","('20', 4, 1, 1000)",9
"('20', 27, 1, 1000)","('20', 29, 1, 1000)",9
"('20', 28, 1, 1000)","('20', 15, 1, 1000)",9
"('20', 30, 1, 1000)","('20', 29, 1, 1000)",9
"('20', 32, 1, 1000)","('20', 16, 1, 1000)",9
"('20', 33, 1, 1000)","('20', 1, 1, 1000)",9
"('20', 34, 1, 1000)","('20', 16, 1, 1000)",9
"('20', 35, 1, 1000)","('20', 11, 1, 1000)",9
"('20', 36, 1, 1000)","('20', 16, 1, 1000)",9
"('20', 39, 1, 1000)","('2', 2, 1, 1000)",10
"('20', 43, 1, 1000)","('20', 17, 1, 1000)",10
"('20', 46, 1, 1000)","('20', 43, 1, 1000)",10
"('20', 48, 1, 1000)","('1', 16, 1, 1000)",11
"('20', 50, 1, 1000)","('20', 15, 1, 1000)",11
"('20', 51, 1, 1000)","('1', 8, 1, 1000)",12
"('20', 54, 1, 1000)","('20', 31, 1, 1000)",14
"('24', 1, 1, 1000)","('5', 21, 1, 1000)",5
"('24', 3, 1, 1000)","('24', 4, 1, 1000)",14
"('24', 4, 1, 1000)","('24', 1, 1, 1000)",14
