"src(partition,col,END_COL,diameter=1000)","dest(partition,col,END_COL,diameter=1000)",network
"('19', 5, 6, 1000)","('19', 0, 1, 1000)",5
"('19', 6, 7, 1000)","('19', 0, 1, 1000)",5
"('19', 7, 8, 1000)","('19', 0, 1, 1000)",5
"('19', 8, 9, 1000)","('19', 1, 2, 1000)",5
"('19', 9, 10, 1000)","('19', 3, 4, 1000)",5
"('19', 10, 11, 1000)","('10', 7, 8, 1000)",5
"('19', 11, 12, 1000)","('10', 6, 7, 1000)",5
"('19', 12, 13, 1000)","('19', 3, 4, 1000)",5
"('19', 13, 14, 1000)","('19', 1, 2, 1000)",14
"('20', 0, 1, 1000)","('20', 1, 2, 1000)",1
"('20', 1, 2, 1000)","('1', 0, 1, 1000)",1
"('20', 2, 3, 1000)","('20', 1, 2, 1000)",1
"('20', 3, 4, 1000)","('1', 0, 1, 1000)",1
"('20', 4, 5, 1000)","('20', 1, 2, 1000)",1
"('20', 5, 6, 1000)","('20', 1, 2, 1000)",3
"('20', 6, 7, 1000)","('20', 3, 4, 1000)",3
"('20', 7, 8, 1000)","('1', 6, 7, 1000)",3
"('20', 8, 9, 1000)","('20', 1, 2, 1000)",3
"('20', 9, 10, 1000)","('20', 13, 14, 1000)",3
"('20', 10, 11, 1000)","('20', 4, 5, 1000)",3
"('20', 11, 12, 1000)","('20', 1, 2, 1000)",3
"('20', 12, 13, 1000)","('20', 14, 15, 1000)",3
"('20', 13, 14, 1000)","('20', 9, 10, 1000)",3
"('20', 14, 15, 1000)","('20', 12, 13, 1000)",3
"('20', 15, 16, 1000)","('20', 12, 13, 1000)",3
"('20', 16, 17, 1000)","('20', 11, 12, 1000)",3
"('20', 17, 18, 1000)","('20', 9, 10, 1000)",3
"('20', 18, 19, 1000)","('10', 0, 1, 1000)",5
"('20', 19, 20, 1000)","('10', 6, 7, 1000)",5
"('20', 20, 21, 1000)","('20', 49, 50, 1000)",6
"('20', 21, 22, 1000)","('20', 23, 24, 1000)",8
"('20', 22, 23, 1000)","('20', 5, 6, 1000)",8
"('20', 23, 24, 1000)","('20', 21, 22, 1000)",8
"('20', 24, 25, 1000)","('10', 4, 5, 1000)",8
"('20', 25, 26, 1000)","('20', 11, 12, 1000)",8
"('20', 26, 27, 1000)","('20', 4, 5, 1000)",9
"('20', 27, 28, 1000)","('20', 29, 30, 1000)",9
"('20', 28, 29, 1000)","('20', 15, 16, 1000)",9
"('20', 29, 30, 1000)","('20', 13, 14, 1000)",9
"('20', 30, 31, 1000)","('20', 29, 30, 1000)",9
"('20', 31, 32, 1000)","('20', 9, 10, 1000)",9
"('20', 32, 33, 1000)","('20', 16, 17, 1000)",9
"('20', 33, 34, 1000)","('20', 1, 2, 1000)",9
"('20', 34, 35, 1000)","('20', 16, 17, 1000)",9
"('20', 35, 36, 1000)","('20', 11, 12, 1000)",9
"('20', 36, 37, 1000)","('20', 16, 17, 1000)",9
"('20', 37, 38, 1000)","('20', 38, 39, 1000)",10
"('20', 38, 39, 1000)","('20', 37, 38, 1000)",10
"('20', 39, 40, 1000)","('2', 2, 3, 1000)",10
"('20', 40, 41, 1000)","('20', 41, 42, 1000)",10
"('20', 41, 42, 1000)","('20', 40, 41, 1000)",10
"('20', 43, 44, 1000)","('20', 17, 18, 1000)",10
"('20', 44, 45, 1000)","('20', 9, 10, 1000)",10
"('20', 46, 47, 1000)","('20', 43, 44, 1000)",10
"('20', 47, 48, 1000)","('20', 37, 38, 1000)",10
"('20', 48, 49, 1000)","('1', 16, 17, 1000)",11
"('20', 49, 50, 1000)","('20', 20, 21, 1000)",11
"('20', 50, 51, 1000)","('20', 15, 16, 1000)",11
"('20', 51, 52, 1000)","('1', 8, 9, 1000)",12
"('20', 52, 53, 1000)","('20', 20, 21, 1000)",14
"('20', 53, 54, 1000)","('20', 20, 21, 1000)",14
"('20', 54, 55, 1000)","('20', 31, 32, 1000)",14
"('24', 0, 1, 1000)","('24', 2, 3, 1000)",5
"('24', 1, 2, 1000)","('5', 21, 22, 1000)",5
"('24', 2, 3, 1000)","('24', 0, 1, 1000)",14
"('24', 3, 4, 1000)","('24', 4, 5, 1000)",14
"('24', 4, 5, 1000)","('24', 1, 2, 1000)",14
